"spec","site","basin","merged","region","maxl","maxw","maxth","maxstl","maxstw","maxbl","maxshw","size","geo.mean","sh.maxbl","sh.maxw","sh.maxshw","sh.maxth","sh.maxstl","sh.maxstw"
"f2-g2-2","41sy27","Sabine","south_L","south",29.32,15.47,2.94,5.59,4.18,23.73,11.29,"L",7.96204366267251,1.09205436200208,0.66421695613938,0.349231669715976,-0.996276127095004,-0.353706421278587,-0.64437446190893
"f2-g2-1","41sy27","Sabine","south_L","south",30.83,16.8,2.96,5.83,5.21,25,11.59,"L",7.96204366267251,1.14419011642261,0.746693177963619,0.375456948906066,-0.989496440109626,-0.311668708083194,-0.424105852680319
"f2-g2-11","41sy27","Sabine","south_L","south",31.1,15.33,2.92,5.6,4.78,25.5,10.55,"L",7.96204366267251,1.16399274371879,0.655125984438128,0.281440151476481,-1.0031020921654,-0.351919110704491,-0.51024516194223
"f2-g2-3","41sy27","Sabine","south_S","south",23.3,15.31,3.09,3.87,4.31,19.43,11,"S",7.96204366267251,0.892132554943754,0.653820501223997,0.323209564352776,-0.946514617535941,-0.721431201403904,-0.613747804329938
"f2-g2-13","41sy27","Sabine","south_L","south",29.33,18.59,3.13,5.54,4.52,23.79,14.07,"L",7.96204366267251,1.09457961586927,0.847938093287758,0.569359162680703,-0.933652703893533,-0.362691207686402,-0.566173714601455
"f2-g2-7","41sy27","Sabine","south_S","south",24.78,15.68,3.2,4.6,4.23,20.18,11.45,"S",7.96204366267251,0.930006306479868,0.677700306476667,0.363304021554654,-0.911534898639914,-0.548629404950546,-0.632483715387408
"f2-g2-8","41sy27","Sabine","south_S","south",28.17,18.24,3.01,5.99,4.72,22.18,13.52,"S",7.96204366267251,1.02450527347663,0.828931276200591,0.529484362169223,-0.97274562968481,-0.284594296318237,-0.522876908848131
"f2-g2-12","41sy27","Sabine","south_L","south",33.53,15.83,3.18,5.55,4.23,27.98,11.6,"L",7.96204366267251,1.25680426079174,0.687221165447326,0.376319389666724,-0.917804511653509,-0.360887780687252,-0.632483715387408
"f2-g2-6","41sy27","Sabine","south_S","south",23.74,16.12,2.92,5.53,4.34,18.21,11.78,"S",7.96204366267251,0.827285185293922,0.705375028632888,0.391717469777846,-1.0031020921654,-0.364497892911351,-0.606811360333281
"f2-g1-20","41sy27","Sabine","south_L","south",37.46,16.78,3.28,7.53,5.54,29.93,11.24,"L",7.96204366267251,1.32417561341901,0.745501992593466,0.344793136019951,-0.886842286049542,-0.0557906666337926,-0.362691207686402
"f2-g1-10","41sy27","Sabine","south_S","south",27.32,18.39,3.1,5.37,4.54,21.95,13.85,"S",7.96204366267251,1.01408143107559,0.837121330170635,0.553599524187753,-0.943283596954494,-0.393857799924821,-0.561758696392338
"f2-g1-19","41sy27","Sabine","south_L","south",31.44,19.62,3.13,5.44,5.75,26,13.87,"L",7.96204366267251,1.18341082957589,0.901863745691622,0.555042525881146,-0.933652703893533,-0.380906647577743,-0.325485853636336
"f2-g1-17","41sy27","Sabine","south_L","south",32.75,19.34,3.34,6.29,5.31,26.46,14.03,"L",7.96204366267251,1.20094845024121,0.887489781579553,0.566512185668775,-0.868714901456986,-0.235724637733246,-0.405093873191747
"f2-g1-16","41sy27","Sabine","south_L","south",34.97,16.81,3.39,5.9,5.49,29.07,11.32,"L",7.96204366267251,1.29502100612519,0.747288238974929,0.351885364329442,-0.853855787053236,-0.299733357533921,-0.371757452924155
"f2-g1-11","41sy27","Sabine","south_L","south",33.18,17.45,3.36,6.47,5.12,26.71,12.33,"L",7.96204366267251,1.21035231867627,0.784653940202841,0.437349608730658,-0.862744734470482,-0.207509599932786,-0.441531269394178
"f2-g1-13","41sy27","Sabine","south_L","south",31.61,18.57,3.07,5.75,5.04,25.86,13.53,"L",7.96204366267251,1.17801166489812,0.84686166691902,0.530223733737102,-0.953008146846489,-0.325485853636336,-0.457279626362318
